id1;id2;temps
0;238;41
0;159;46
1;12;36
1;235;44
2;110;69
2;139;50
3;262;33
3;210;41
4;171;43
4;251;35
5;13;67
5;239;54
6;55;56
6;258;46
7;290;39
7;311;79
8;350;38
8;309;58
9;338;28
9;78;62
10;277;42
10;108;36
11;154;32
11;54;41
12;213;42
13;151;57
14;124;46
14;64;28
15;318;37
15;319;73
16;119;98
16;331;62
17;288;89
17;40;41
18;163;32
18;61;56
19;236;31
19;93;33
20;129;48
20;283;38
21;86;46
21;75;51
22;84;39
22;120;81
23;97;35
23;287;57
24;84;51
25;193;42
25;253;35
26;98;31
26;230;64
27;239;64
27;246;59
28;29;79
29;374;46
30;354;24
30;150;44
31;41;28
31;144;36
32;343;54
32;303;41
33;344;52
33;304;41
34;248;36
34;41;57
35;111;34
35;172;40
36;198;105
36;37;39
38;336;35
38;289;38
39;153;38
39;267;46
40;297;37
42;190;42
42;215;35
43;66;41
43;328;57
44;162;54
44;250;64
45;348;43
45;155;35
46;242;63
46;329;46
47;148;46
47;195;41
48;182;66
48;318;60
49;164;42
49;241;40
50;77;54
50;109;62
51;137;62
51;202;69
52;201;20
53;372;47
53;167;33
54;145;51
55;127;60
56;351;59
56;362;75
57;150;35
58;307;31
58;369;31
59;224;72
59;162;53
60;299;63
60;133;45
61;335;28
62;287;53
62;216;48
63;123;44
63;169;57
64;192;57
65;342;41
65;121;57
67;135;87
67;173;51
68;136;85
69;120;287
69;281;131
70;73;45
70;165;66
71;254;73
71;255;37
72;188;52
73;330;46
74;195;44
74;221;52
75;142;93
76;156;59
76;111;30
77;356;57
78;175;41
79;177;41
79;138;71
80;274;41
80;360;49
81;178;43
81;274;43
82;87;32
82;277;47
83;243;36
83;128;49
85;204;47
85;351;46
86;211;37
87;300;43
88;181;44
88;301;47
89;90;29
90;91;26
91;185;27
92;34;37
93;97;45
94;200;27
94;205;39
95;210;48
95;292;37
96;324;52
96;293;42
98;155;69
99;358;31
99;349;54
100;207;113
100;321;59
101;293;43
101;209;36
102;252;35
102;130;37
103;327;44
103;367;30
104;199;62
104;271;40
105;296;42
105;163;47
106;231;29
106;206;36
107;335;49
107;314;49
108;152;29
109;127;59
110;332;37
112;180;71
113;234;36
113;207;47
114;263;72
115;263;39
115;285;70
116;233;50
117;148;59
118;329;60
118;288;30
119;295;41
121;124;67
122;140;103
122;125;59
123;250;51
125;340;107
126;272;37
126;182;42
128;324;42
129;311;49
131;153;72
131;272;63
132;223;68
132;327;40
133;317;49
134;270;47
134;374;53
135;331;65
136;290;73
137;359;54
138;158;57
139;355;46
140;313;47
141;291;37
141;197;49
142;339;27
143;340;29
143;160;44
144;170;46
145;373;55
146;283;33
146;247;50
147;159;44
147;191;49
149;241;57
149;345;79
151;339;93
153;245;64
154;349;33
156;371;46
157;306;36
157;291;49
158;371;66
160;226;40
161;364;28
161;184;39
164;244;60
165;375;33
166;258;38
166;252;37
167;265;31
168;326;49
168;245;28
169;341;54
171;264;49
172;240;35
173;227;34
174;221;31
174;346;72
175;325;144
176;281;71
177;225;88
179;237;37
180;267;91
183;278;51
184;260;31
184;352;36
185;186;26
186;372;33
187;188;34
187;273;46
189;367;49
189;370;35
190;269;27
191;194;67
192;337;36
193;271;38
194;276;67
196;259;47
197;199;28
198;52;42
200;257;51
201;145;46
202;326;112
203;317;53
203;332;40
204;366;51
205;296;38
206;218;45
208;361;42
208;333;48
209;232;54
211;284;49
212;275;86
212;295;64
214;236;42
215;307;60
216;243;55
217;353;29
217;322;37
218;294;38
219;297;50
219;313;81
220;316;35
220;315;80
222;323;42
222;330;31
223;289;43
224;282;80
225;298;75
226;270;39
227;356;38
228;255;53
228;282;49
229;305;43
229;312;64
230;354;62
231;368;40
232;348;46
233;320;33
234;249;38
235;284;44
237;261;37
238;322;27
244;352;37
246;302;37
247;357;23
248;280;57
249;273;35
254;345;75
256;362;37
257;265;26
259;198;47
259;36;84
260;266;37
261;266;46
264;286;41
268;337;39
269;301;35
275;328;41
278;357;59
279;320;37
280;92;43
285;305;61
286;370;35
292;361;38
294;347;46
298;303;46
299;304;48
300;341;46
302;366;53
306;355;33
308;347;29
308;338;33
309;336;65
310;375;28
310;342;67
312;350;37
314;343;98
315;344;107
316;369;27
321;359;23
323;334;47
325;353;69
333;334;32
346;358;33
360;368;47
363;365;28
364;365;28
373;196;37
7;8;180
13;14;180
16;18;240
16;17;240
17;18;240
20;21;180
22;23;180
32;33;180
50;51;180
55;57;240
55;56;240
56;57;240
59;60;180
67;69;300
67;68;300
67;70;300
67;71;300
68;69;300
68;70;300
68;71;300
69;70;300
69;71;300
70;71;300
77;79;240
77;78;240
78;79;240
93;94;180
95;96;180
99;100;180
109;110;180
115;116;180
117;118;180
119;120;180
121;123;240
121;122;240
122;123;240
124;125;180
132;133;180
135;136;180
137;138;180
142;144;240
