id;ligne;terminus;nom;latitude;longitude
0;12;0;Abbesses;48.884172;2.337626
1;2;0;Alexandre_Dumas;48.855003;2.409405
2;9;0;Alma_Marceau;48.864125;2.304674
3;4;0;Alésia;48.827797;2.325347
4;3;0;Anatole_France;48.883317;2.274698
5;2;0;Anvers;48.88216;2.344926
6;1;0;Argentine;48.875613;2.281739
7;11;0;Arts_et_Métiers;48.866057;2.354518
8;3;0;Arts_et_Métiers;48.866057;2.354518
9;12;0;Assemblée_Nationale;48.859135;2.318753
10;7;0;Aubervilliers-Pantin,_Quatre_Chemins;48.897135;2.384325
11;10;0;Avenue_Émile_Zola;48.846981;2.292173
12;2;0;Avron;48.853256;2.398475
13;2;0;Barbès_Rochechouart;48.88352;2.347669
14;4;0;Barbès_Rochechouart;48.88352;2.347669
15;13;0;Basilique_de_Saint-Denis;48.936759;2.359043
16;1;0;Bastille;48.852968;2.369758
17;5;0;Bastille;48.852968;2.369758
18;8;0;Bastille;48.852968;2.369758
19;6;0;Bel_Air;48.839708;2.405866
20;11;0;Belleville;48.871341;2.375528
21;2;0;Belleville;48.871341;2.375528
22;14;0;Bercy;48.837731;2.379414
23;6;0;Bercy;48.837731;2.379414
24;14;1;Bibliothèque_François_Mitterand;48.829383;2.376273
25;9;0;Billancourt;48.832943;2.238219
26;6;0;Bir-Hakeim;48.857113;2.288774
27;2;0;Blanche;48.884862;2.333693
28;5;1;Bobigny,_Pablo_Picasso;48.904804;2.445875
29;5;0;Bobigny-Pantin,_Raymond_Queneau;48.894802;2.413678
30;6;0;Boissière;48.857173;2.288234
31;7b;0;Bolivar;48.876613;2.370196
32;8;0;Bonne_Nouvelle;48.870334;2.347375
33;9;0;Bonne_Nouvelle;48.870334;2.347375
34;7b;0;Botzaris;48.878636;2.390052
35;8;0;Boucicaut;48.846877;2.27858
36;10;0;Boulogne,_Jean_Jaurès;48.839039;2.246267
37;10;1;Boulogne,_Pont_de_Saint-Cloud,_Rond_Point_Rhin_et_Danube;48.828433;2.240543
38;3;0;Bourse;48.868217;2.340234
39;13;0;Brochant;48.890357;2.319697
40;5;0;Bréguet-Sabin;48.855931;2.368984
41;7b;0;Buttes_Chaumont;48.877922;2.381745
42;9;0;Buzenval;48.848608;2.400342
43;1;0;Bérault;48.845892;2.428165
44;7;0;Cadet;48.876803;2.343563
45;6;0;Cambronne;48.84862;2.296145
46;5;0;Campo-Formio;48.839384;2.35405
47;10;0;Cardinal_Lemoine;48.84615;2.352442
48;13;0;Carrefour_Pleyel;48.918077;2.34567
49;7;0;Censier_Daubenton;48.840336;2.350473
50;1;0;Champs_Élysées,_Clémenceau;48.866271;2.313559
51;13;0;Champs_Élysées,_Clémenceau;48.866271;2.313559
52;10;0;Chardon_Lagâche;48.831779;2.28028
53;8;0;Charenton-Écoles;48.824277;2.41217
54;10;0;Charles_Michels;48.839056;2.28916
55;1;0;Charles_de_Gaulle,_Étoile;48.873819;2.295022
56;2;0;Charles_de_Gaulle,_Étoile;48.873819;2.295022
57;6;1;Charles_de_Gaulle,_Étoile;48.873819;2.295022
58;9;0;Charonne;48.853833;2.399524
